0		1		0		0
1		1		0		0
2		1		0		0
3		1		0		0
4		1		0		0
5		32.32		1.27084		-nan
6		33.1933		1.55739		0.525719
7		34.3467		1.99996		0.758633
8		35.4867		2.5003		-nan
9		36.9733		2.66205		0.858126
10		38.3133		2.88978		1.09731
11		39.9267		2.97438		1.05456
12		41.9267		2.93119		0.897191
13		43.8667		2.76766		-nan
14		45.8333		2.76463		0.958173
15		47.78		2.8376		0.896979
16		49.5533		2.92762		1.08422
17		51.22		2.69693		-nan
18		52.4733		2.64625		-nan
19		53.4533		2.29849		0.718
20		54.2533		1.90085		inf
21		54.82		1.80629		-nan
22		55.16		1.74971		0.728795
23		55.4867		1.68983		0.699864
24		55.7533		1.68267		0.568038
25		56.16		1.65509		0.544846
26		56.7533		1.9035		0.699864
27		57.3467		2.01999		0.780903
28		58.24		2.10043		0.930284
29		59.5467		2.42633		0.978969
30		61.1933		2.7262		1.03127
31		63.0333		3.12044		1.12356
32		65.26		3.67548		-nan
33		67.66		4.11387		-nan
34		70.74		4.33254		1.89616
35		73.98		4.46082		2.06093
36		77.2467		4.67312		2.25035
37		81.0933		4.96882		2.5084
38		84.58		5.16736		-nan
39		87.9933		5.26671		2.41941
40		91.4467		4.94335		2.23251
41		94.3867		4.71864		-nan
42		97.1867		4.5545		-nan
43		99.9667		4.26224		1.78632
44		102.08		4.07895		1.86057
45		104		3.84777		1.6979
46		105.787		3.84007		-nan
47		107.307		3.77015		-nan
48		108.753		3.63048		1.67454
49		110.267		3.67226		1.69397
50		111.8		3.92377		1.80436
51		113.58		4.07525		-nan
52		115.42		4.29182		2.15015
53		117.853		4.68094		inf
54		120.693		5.10027		-nan
55		124.04		5.51615		2.00848
56		128.107		6.13292		2.32455
57		132.36		6.78261		2.4307
58		137.487		7.2378		-nan
59		142.62		7.45696		-nan
60		148.353		7.89625		3.55726
61		154.373		8.02475		3.41121
62		160.387		8.3367		3.74335
63		166.607		8.55138		3.95934
64		172.913		8.92996		4.10937
65		178.9		9.09882		4.3265
66		184.567		8.89342		-nan
67		190.107		8.50199		3.96493
68		195.067		8.38876		4.20351
69		199.84		8.18747		4.23755
70		204.133		8.12294		3.94781
71		208.093		8.0563		-nan
72		211.907		8.0204		3.73602
73		215.753		7.77186		3.43633
74		219.6		7.97648		3.49305
75		223.64		8.17861		-nan
76		228.04		8.64736		3.95489
77		232.747		8.81974		3.87867
78		238.127		9.29046		3.83582
79		243.913		9.76017		4.07902
80		251.107		10.7586		-nan
81		258.773		11.4617		4.9671
82		267.527		12.0851		5.32091
83		277.073		13.1813		5.82181
84		287.347		13.8675		6.04694
85		297.773		14.3593		6.27096
86		308.36		15.1051		6.5671
87		319.74		15.5419		-nan
88		331.067		16.0785		7.42406
89		342.12		16.3198		7.66916
90		353.367		16.155		7.46044
91		364.633		16.2098		7.56228
92		375.213		16.1389		-nan
93		385.227		16.1562		7.99156
94		394.38		15.6427		7.66478
95		403.547		15.7013		7.47069
96		412.3		15.8007		-nan

#-------------------------------------
#Time(h.) 	 Averaged number of heterocysts clusters 	 deviation 	 Batch deviation
#Averaged=150 times.
#Batches=15 times.
